,Samuel L. Jackson,Morgan Freeman,Bruce Willis,Robert De Niro,Matt Damon,Owen Wilson,Johnny Depp,Liam Neeson,Brad Pitt,Nicolas Cage,Stanley Tucci,Frank Welker,George Clooney,Cate Blanchett,Editor,Producer,crew_num,cast_num,Steven Spielberg,Clint Eastwood,Ridley Scott,Robert Zemeckis,Martin Scorsese,Tim Burton,Michael Bay,Renny Harlin,Robert Rodriguez,Steven Soderbergh,budget,Drama,Action,Comedy,Thriller,Adventure,genres_num,duringcreditsstinger,based on novel,aftercreditsstinger,dystopia,3d,violence,woman director,murder,original_en,Warner Bros.,Universal Pictures,Paramount Pictures,Twentieth Century Fox Film Corporation,Columbia Pictures,New Line Cinema,Relativity Media,Walt Disney Pictures,com_num,United States of America,United Kingdom,Germany,France,Canada,Australia,runtime,English,Français,month
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,153,83,0,0,0,0,0,0,0,0,0,0,237,0,1,0,0,1,4,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,4,1,1,0,0,0,0,162.0,1,0,12
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,5,32,34,0,0,0,0,0,0,0,0,0,0,300,0,1,0,0,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,169.0,1,0,5
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,155,83,0,0,0,0,0,0,0,0,0,0,245,0,1,0,0,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,1,1,0,0,0,0,148.0,1,1,10
3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,217,158,0,0,0,0,0,0,0,0,0,0,250,1,1,0,1,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,165.0,1,0,7
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,132,27,0,0,0,0,0,0,0,0,0,0,260,0,1,0,0,1,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,132.0,1,0,3
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,56,143,0,0,0,0,0,0,0,0,0,0,258,0,1,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,139.0,1,1,5
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,79,13,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,100.0,1,0,11
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,74,72,0,0,0,0,0,0,0,0,0,0,280,0,1,0,0,1,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,141.0,1,0,4
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,27,49,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,153.0,1,0,7
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,111,152,0,0,0,0,0,0,0,0,0,0,250,0,1,0,0,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,1,0,0,0,0,0,151.0,1,0,3
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,24,18,0,0,0,0,0,0,0,0,0,0,270,0,1,0,0,1,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,154.0,1,1,6
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,17,32,0,0,0,0,0,0,0,0,0,0,200,0,1,0,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,106.0,1,1,10
12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,23,33,0,0,0,0,0,0,0,0,0,0,200,0,1,0,0,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,151.0,1,0,6
13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,35,60,0,0,0,0,0,0,0,0,0,0,255,0,1,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,149.0,1,0,7
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,48,33,0,0,0,0,0,0,0,0,0,0,225,0,1,0,0,1,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,1,1,0,0,0,0,143.0,1,0,6
15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,83,21,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,150.0,1,0,5
16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,147,115,0,0,0,0,0,0,0,0,0,0,220,0,1,0,0,1,3,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,143.0,1,0,4
17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,39,35,0,0,0,0,0,0,0,0,0,0,380,0,1,0,0,1,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,136.0,1,0,5
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,21,18,0,0,0,0,0,0,0,0,0,0,225,0,1,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,106.0,1,0,5
19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,127,42,0,0,0,0,0,0,0,0,0,0,250,0,1,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,144.0,1,0,12
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,106,57,0,0,0,0,0,0,0,0,0,0,215,0,1,0,0,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,136.0,1,0,6
